feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,target
57.44,52.68,22,26.25,61,88.13333333,64.49,58.1,145.4
10.8,54.22,60,13.333,13.6,4.066666667,64.48,6.3,85
22.18,53.13,36,21.63,28.3,33.53333333,64.48,25.3,106.8
26.54,53.12,76,18.793,26.2,26.13333333,64.48,23.1,121.6
32.3,52.98,64,14.583,38.2,43.56666667,64.48,34.5,117.2
32.34,52.97,48,19.75,36.6,47.2,64.48,40.1,132.8
37.58,52.97,20,19.911,38.7,45.86666667,64.48,33.7,135
34.3,52.77,36,22.417,33.7,38.86666667,64.48,33.3,158.4
23.8,52.73,34,23.571,27.5,37.1,64.48,25.8,126.2
56.08,52.67,12,20.625,58.1,93.56666667,64.48,59.4,135.4
16.14,54.91,24,25.391,19.9,8.2,64.47,10.2,80
51.56,52.99,50,17.159,63.4,69.4,64.47,56.5,124.4
31.66,52.97,70,24.063,34,31.1,64.47,31.8,141.4
44.62,52.97,68,15.217,54.5,52.26666667,64.47,51,120.6
30.54,52.73,28,17.35,32.5,48.43333333,64.47,33.2,122.4
29.18,52.99,46,15.372,37.3,38.26666667,64.46,38.8,138.8
33.94,52.99,34,43.523,26.8,30.36666667,64.46,25.4,192
30.26,52.98,54,19.464,39.5,37.36666667,64.46,38.1,121.2
48.58,52.97,82,30.091,45.4,39.6,64.46,43,141.6
34.24,52.79,46,12.75,40.3,45.66666667,64.46,37.7,120.8
45.32,52.98,66,54.349,36.5,31.73333333,64.45,36,286
51.3,52.98,48,32.593,53,48.23333333,64.45,47.3,161.6
30.8,52.82,68,25.664,31.6,33.76666667,64.45,27.4,135
13.32,52.8,46,21.136,14.2,19.33333333,64.45,16,122
20.08,52.79,46,16.351,22.1,23.23333333,64.45,20.1,119.2
11.3,52.79,44,12.083,16.2,23.06666667,64.45,14.1,107.2
53.04,52.78,10,28.025,60.6,58.9,64.45,53.6,168.6
43.28,52.96,42,38.177,48,38.8,64.44,42.1,214.4
33.44,52.8,56,15.987,41.6,44.5,64.44,39.7,118.8
26.22,52.8,50,21.979,37.5,39.76666667,64.44,35.1,127.8
23.42,52.8,30,13.882,32.8,34.13333333,64.44,29.8,138.8
47.44,52.79,40,11.707,83.5,76.1,64.44,76.7,125
23.56,52.79,36,13.373,43.8,45.9,64.44,42.9,116.6
50.22,52.78,92,30.603,49,52.76666667,64.44,46.9,141.6
23.7,52.78,70,46.154,20.2,20.5,64.44,19.1,172.4
31.36,52.78,58,31.597,28.3,28.26666667,64.44,24.5,152.4
25.56,52.76,30,44.821,21.7,21.76666667,64.44,18.5,280.6
27.3,52.85,66,32.396,26.9,27.5,64.43,25,124.6
20.78,52.85,34,17.411,25.6,24.26666667,64.43,24.6,127
24.14,52.84,58,19.531,30.1,26.8,64.43,28.8,122.2
29.88,52.83,62,35.282,28.9,31.96666667,64.43,28.4,135
45.52,52.8,32,18.75,59.4,39.46666667,64.43,51.3,187.6
23.04,52.79,68,36.042,20.8,20.7,64.43,20.8,147.2
30.68,52.78,40,62.715,23.5,29.03333333,64.43,22.2,194.4
28.26,52.78,30,43.021,27.9,26.76666667,64.43,27.7,175
23.22,53.88,42,31.827,28.2,24.13333333,64.42,18.6,143.4
16.1,52.81,10,44.75,14.3,15.26666667,64.42,14.3,192.6
21.76,52.81,20,36.597,20.3,17.76666667,64.42,20.1,175
33.74,52.79,28,16.635,50.7,25.4,64.42,45.1,128.8
49.88,52.78,10,57.843,41.4,47.2,64.42,42.1,220.2
32.16,52.85,40,48.75,27.4,28.73333333,64.41,24.8,181.6
43.66,52.79,16,63.814,30.7,33.33333333,64.41,28.7,319.8
18.7,52.69,60,25.769,17.7,21.63333333,64.41,14.8,188.8
14.18,53.2,74,24.511,18.7,13,64.4,14.2,145
32.58,52.87,6,41.293,31.7,33.5,64.4,31.2,166.4
22.42,53.04,40,22.969,24.4,25.53333333,64.38,23,124
20.18,53.04,34,20.463,23.1,24.83333333,64.38,21.7,122.4
24.56,52.8,46,31.667,23.5,18.96666667,64.36,23.5,250
31.28,52.79,36,21.792,34,38.7,64.31,34.3,110.4
6.96,52.75,32,20.938,9.9,4.1,64.28,5.4,175
14.98,53.36,38,17.727,23.8,15.86666667,64.27,16.9,100
31.72,53.35,46,12.132,44.8,11.26666667,64.27,18.2,60
9.04,53.09,54,29,10.3,8.6,64.27,6.1,175
9.44,52.8,88,22.083,8.1,6.866666667,64.27,5.7,187.6
1.92,53.26,4,53.374,1.8,1,64.2,1.6,95
33.2,53.49,40,20.347,37.9,21.23333333,64.16,25,137.8
77.36,54.2,68,13.571,125.7,29.66666667,64.15,42.3,82
4.16,52.93,30,40.208,4.9,1.7,64.12,2,65
24.2,53.34,38,17.857,24.8,10.96666667,64.1,15.5,125.6
9.18,53.36,30,9.22,9.5,5.333333333,64.09,7.3,135
26.42,55.55,36,34.028,27.2,25.13333333,64.07,22.6,135
3.72,53.38,10,27,4.3,1.366666667,64.06,2.1,117.6
1.98,53.28,24,18.958,2.5,1.233333333,64.05,1.7,107.6
6.44,53.3,54,11.25,8.1,3.733333333,64.04,5.7,108.8
4.8,53.32,16,14.688,4.6,2.1,64.02,2.4,107.6
38.9,53.4,30,20.109,53.6,17.16666667,64.01,27.3,108.6
4.9,53.19,32,12.639,5.7,2.7,64,3.3,102.6
22.68,52.74,52,14.338,28,10.96666667,64,15.8,87.8
59.7,53.51,48,17.344,95.8,134.7333333,63.99,90.5,132.8
39.92,53.41,40,28.684,51.5,21.96666667,63.99,29.5,125.6
11.38,54.18,16,43.021,9.7,10.4,63.98,9.6,189
6.02,54.12,38,31.25,6.5,5,63.95,5.6,131.2
5.8,53.33,34,17.292,9.4,4.5,63.95,5.7,162.6
24.04,54.2,58,13.371,29,12.76666667,63.94,15.6,133.8
207.54,54.15,30,22.466,233.1,150.2333333,63.94,180.7,133.6
7.62,53.86,32,24.25,8.9,6.066666667,63.92,7.5,152.2
188.88,54.15,26,26.111,199.7,138.8666667,63.91,148.2,131.2
25.46,53.64,40,20.871,35.4,51.6,63.89,35.5,169.4
48.42,53.53,34,16.54,82,99.03333333,63.88,68.5,200
65.96,54.22,64,18.75,122.8,25.43333333,63.86,36,95.6
66.24,54.14,36,30.139,70.5,41.7,63.85,51.2,165.2
3.94,53.69,44,29.286,5.4,11.03333333,63.85,7,225
34.22,53.64,20,16.557,49.9,63.2,63.85,44.3,130.8
24.6,53.68,24,22.679,27.7,44.46666667,63.84,26,122.8
71.7,53.67,36,25.714,80,129.1,63.83,78.8,131.8
12.78,53.66,44,19.306,20.3,22.13333333,63.83,15.3,95
34.26,53.53,26,21.287,51.2,65.93333333,63.83,44.2,117.2
1.78,53.69,34,23.75,1.9,2.633333333,63.82,2.1,310
57.76,53.67,50,22.141,65.4,98,63.82,66,133.4
37.18,53.67,32,17.297,47.6,66.46666667,63.81,47.7,135
47.98,53.7,52,22.989,62.5,88.46666667,63.8,53.5,121.2
23.04,53.63,46,25,27.3,35.9,63.8,23.5,192.6
32.16,52.64,56,14.648,40.9,18.9,63.8,25.4,123.6
17.88,53.75,44,30.673,19.2,27.66666667,63.79,20.2,136.4
49.76,53.72,56,23.169,71.4,96.36666667,63.79,67.6,137.8
62.28,53.71,38,17.083,78.7,105.2333333,63.79,77.2,164.4
11.68,53.68,68,15.809,17.6,20.83333333,63.79,16.6,200
31.92,53.66,38,38.846,29.5,40.03333333,63.79,28.2,201.8
27.44,56,28,11.471,38.6,14.53333333,63.78,21.3,65.8
23.5,54.21,46,22.083,46.8,11.83333333,63.78,15.1,85
82.4,53.74,52,33.107,85.8,97.26666667,63.78,81.5,138.8
33.9,53.73,76,21.217,35.2,42.63333333,63.78,30.5,137
16.52,53.72,56,17.172,25.8,32.63333333,63.78,24.5,117.6
77.22,53.7,18,32.833,84.9,27.5,63.78,40.1,249.4
22.66,53.73,58,28.648,22.1,30.6,63.77,23.9,144.2
99.62,53.72,64,17.805,132.6,125.9666667,63.77,118.6,153.8
97.48,53.71,34,24.44,134.9,167.7333333,63.77,124.3,180
55.48,53.73,28,30.682,56.6,51,63.76,50.5,208.2
104.72,53.72,50,37.75,103.9,90.83333333,63.76,93.5,186.8
180.66,53.71,20,27.598,222.4,184.1666667,63.76,184.5,190
17.6,53.81,48,34.583,18.7,16.9,63.75,16.9,135
5.56,53.75,66,20.25,9.1,12.5,63.75,8.1,100
33.28,53.69,10,27.667,44.4,30.23333333,63.75,37.4,185.8
148.74,53.65,6,102.948,122.2,19.13333333,63.74,30.2,764.8
18.68,53.07,34,19.875,28.4,15.06666667,63.74,18.4,167.4
9.04,54.13,74,37.292,10.9,6.133333333,63.73,5.9,131.6
259.82,53.74,12,47.195,255.5,152.3666667,63.71,192.6,398.6
71.68,53.72,10,31.771,76,36.56666667,63.71,47,334.8
47.74,53.68,20,28.882,48.1,28.76666667,63.7,30.4,275
47.04,54.13,40,16.063,55.6,40.56666667,63.69,48.1,110.8
44.28,53.67,30,29.187,41,38.4,63.69,35,186.8
93.72,53.67,22,33.333,85.1,82.2,63.69,73.1,183.6
89.94,53.66,14,36.354,83.1,74.93333333,63.69,71.3,196
37.6,54.14,36,16.9,48.7,33.13333333,63.68,42.5,108.4
85.12,54.1,20,26.618,86.1,46.76666667,63.68,68.6,162
35.82,53.28,38,33.625,36.7,10.9,63.68,18.5,200
36.16,54.15,26,15.489,41.1,24.5,63.67,32,114.8
382.14,53.75,10,40.36,392.3,96,63.67,137.6,317
246.54,53.72,22,74.382,200,81.66666667,63.67,113.9,706.2
54.92,53.36,48,33.214,51.4,24.36666667,63.66,29.5,352.8
39.38,54.13,18,15.491,40.6,26.83333333,63.65,34.9,124.6
51.9,52.74,32,17.137,60.6,34.86666667,63.65,36.7,221.4
251.14,53.88,22,17.844,309.8,81.76666667,63.64,123.2,157
172.52,53.72,34,33.12,185.9,116.5666667,63.63,133.7,242.6
176.12,53.69,14,78.005,154.2,28.6,63.63,44.8,636.2
97.8,53.19,24,25.795,115.2,42.96666667,63.63,57,197.4
99.7,54.2,28,20.674,123.8,83.9,63.62,95.4,130
42.08,54.1,12,41.458,34.8,28.03333333,63.62,32,232.6
351.58,53.74,14,40.84,347.9,119.3666667,63.62,182,389
236.72,53.73,20,40.079,240.5,127.0333333,63.62,157,269
250.18,53.71,34,45.556,246,91.23333333,63.62,142.3,516.2
111.66,54.15,30,19.779,114.9,90.3,63.61,96.4,146.6
222.3,53.82,30,27.219,225.7,137.4,63.61,165.3,148.8
152.92,53.72,38,35.569,161.8,83.2,63.61,107.5,256
233.18,53.69,20,69.833,200.7,72.86666667,63.61,108.3,477.6
112.96,54.12,32,26.739,108.9,84.13333333,63.6,100.8,156
97.1,54.09,18,32.723,87.2,69.93333333,63.6,76.5,195.6
61.18,53.78,16,68.729,50,20.4,63.6,20.8,518.4
49.5,53.74,50,33.639,47.6,30.33333333,63.59,38.7,337.6
85.78,53.74,34,24.659,89.3,31.93333333,63.59,44,355.6
141.9,53.79,24,49.444,126,39.3,63.58,57,570
338.42,53.76,28,76.281,283.7,84.13333333,63.58,126.2,683.4
77.9,53.68,30,22.208,78.2,30,63.58,52.9,276.6
3.72,53.51,52,25.625,4.8,3.4,63.58,3.9,206.2
133.66,54.1,34,24.828,129.6,89.23333333,63.57,122.7,168
134.2,53.81,16,35.223,134.3,68.96666667,63.57,78.1,230.2
51.92,53.75,48,37.727,43.8,15.76666667,63.57,23.7,1000.002
37.34,54.16,38,28.929,36.1,25.26666667,63.56,32.1,196.2
111.68,54.12,36,15.823,130.3,75,63.56,115.8,144.8
105.86,53.93,34,16.849,126.6,40.03333333,63.56,59.9,176.8
97.44,53.77,36,22.439,111,31.83333333,63.56,65.6,195
16.92,53.74,10,79.885,24.9,3.9,63.56,6.7,806.6
110.68,53.8,18,36.161,120.6,76.1,63.55,100.8,198.2
104.56,53.78,32,30.859,99.2,39.23333333,63.55,63.9,269.2
53.6,52.65,44,21.949,64.3,54.8,63.55,51.6,254.2
97.26,53.82,12,39.508,92,100.3333333,63.54,82.8,208.4
51.3,53.78,66,25.477,74.5,76.7,63.54,63.8,166
109.46,54.07,44,19.375,123.4,86.03333333,63.53,109.8,130.6
44.66,53.94,36,32.578,47.1,30.63333333,63.53,38.8,170.4
183.38,53.84,6,43.111,151.2,127.9333333,63.53,127,285
202.1,53.81,14,24.497,248.1,209.1333333,63.53,209.5,181.8
35.62,53.78,54,33.162,44.1,25.3,63.53,34,227.2
65.08,53.94,20,18,91.3,30.76666667,63.52,48.6,162
188.5,53.79,28,26.298,202,57.03333333,63.52,100,290.4
25.88,53.61,16,29.167,27.2,15.23333333,63.52,19.9,230.6
66.32,53.82,54,29.569,63.6,78.73333333,63.51,53.2,131.8
175.78,53.8,26,37.396,187.5,42.46666667,63.51,68.8,297.8
86.64,53.98,10,40.417,86.8,47.33333333,63.5,56.7,292.8
144.98,53.95,20,16.983,188.2,142.4666667,63.5,162.1,133.2
6.86,53.82,32,21.042,8.5,0.966666667,63.5,1.4,175
100.64,53.81,52,25.399,122.9,102.8666667,63.5,118.3,189.6
96.2,53.69,40,22.5,107.4,43.46666667,63.5,74,496.2
62.98,54.85,30,20,71.3,42.7,63.49,48.6,129.4
170.04,54.45,42,13.811,263.4,77.66666667,63.49,99.1,102.6
98.26,53.96,32,14.665,139.5,83.93333333,63.49,113.2,122.2
67.38,53.94,24,17.388,78,43.83333333,63.49,58.4,132
25.68,53.89,42,19.5,30.6,17.9,63.49,23.3,122
78.42,53.97,26,33.616,75.4,63.4,63.48,66.5,179.2
151.18,53.85,26,34.886,144.4,106.3,63.48,110.5,225
89.3,53.84,34,36.875,85.9,28.43333333,63.48,44.5,260.8
204.54,53.82,42,25.212,231.5,120.7666667,63.48,173.4,290.4
89.08,52.9,36,45.7,85.2,58.46666667,63.48,65.6,379.8
59.8,53.95,36,26.25,64.8,42.66666667,63.47,53.2,136.4
88.46,53.88,10,46.855,76.3,63.53333333,63.47,66.7,250.4
201.54,53.85,32,29.647,218.6,101.6,63.47,133.7,221.8
167.98,53.84,56,25.885,183.9,115.6666667,63.47,134,318
50.94,53.78,36,25.489,46.3,13.7,63.47,21.4,441
136.28,53.81,62,21.176,171.4,87.6,63.46,134.1,248.2
121.74,53.81,48,31.493,121.7,57.36666667,63.46,83.3,398.8
121,53.8,44,22.216,138.7,47.73333333,63.46,89,367.8
187.48,53.79,36,39.737,178,55.93333333,63.46,91.9,471.2
59.84,53.84,56,57.613,56.2,22.53333333,63.45,34.6,1000.002
138.56,54.06,30,25.405,152.9,85.6,63.44,107.5,139.2
35.3,53.83,72,26.083,39.9,15.03333333,63.44,26.4,643.8
39.7,53.05,30,41.25,36.1,17.86666667,63.44,20.9,296.4
199.5,55.43,16,27.138,174.3,227.8333333,63.43,143.9,45
5.2,54,40,35.208,6.7,2.3,63.43,5,153.2
11.02,53.94,58,11.917,16.6,7.466666667,63.43,10.7,100
159.24,53.84,36,33.897,165.2,66.96666667,63.43,92.1,460.4
9.78,53.64,20,62.702,8.2,6.1,63.43,7.4,691
81.7,52.69,38,29.19,87.6,71.1,63.42,71.8,233
74.6,53.49,32,21.83,82.7,44.86666667,63.4,59.2,227
34.62,53.06,46,27.813,36.5,20.4,63.4,25.8,345.8
50.44,53.04,22,38.75,53.8,20.53333333,63.39,26.9,396.2
128.76,54.23,28,16.136,171.9,52.86666667,63.38,69.1,134.8
82.3,52.86,36,40.159,84.7,67.73333333,63.38,74.5,338.2
16.86,52.79,26,62.152,15.7,30.6,63.34,15.2,481.2
6.98,52.97,32,53.59,7.4,4,63.33,4.3,387.6
69.2,53.71,42,35.882,71.1,21.93333333,63.32,25.5,322.2
36.4,53.16,52,21.797,37.4,33.36666667,63.32,32.4,312.6
10.98,53.94,24,30.208,10.9,6.966666667,63.29,9,132.6
90.54,54.89,28,28.594,87.5,54.66666667,63.28,59,163.4
63.32,53.56,26,23.55,68.2,41.66666667,63.28,47.5,245.8
47.7,53.62,22,29.141,66.1,22.73333333,63.26,24.2,428.6
83.8,53.33,34,24.744,94.6,60.06666667,63.26,67.3,316.4
105.54,53.83,32,33.333,107,21.9,63.25,27.6,286.8
97.26,52.85,34,42.321,84.5,75.53333333,63.25,76.9,434.8
66.96,52.82,34,66.361,48.1,40.73333333,63.25,44.3,617.2
79.18,54.29,28,28.214,84.9,35.46666667,63.24,37.6,222.8
0.84,54.14,8,5.36,1,0.3,63.24,0.3,85
25.02,53.46,12,30.694,26.8,18.13333333,63.24,21.6,346.8
66.22,52.84,32,31.196,70.2,54.23333333,63.24,62.4,374.4
81.7,52.74,28,47.367,75.1,70.96666667,63.24,68.8,429
46.14,53.92,38,16.875,52.5,42.2,63.23,43.7,126
249.6,53,14,55.102,194.6,170.0666667,63.22,169.7,442
6.38,53.99,32,14.688,6.8,7.066666667,63.21,6.7,180
85.62,52.84,24,35.769,78.6,63.03333333,63.21,72.1,463.6
53.04,52.61,38,35.227,52,47.36666667,63.21,49.1,412.2
6.48,53.8,70,34.167,6.3,5.266666667,63.2,3.9,200
77.48,52.8,22,61.481,56.5,55.73333333,63.2,54.6,549.2
115.98,54.24,22,25.147,152.7,23.76666667,63.18,26.2,169.4
178.96,54.25,30,27.375,198.5,43.86666667,63.17,51.4,181.6
62.46,52.83,12,54.288,49.5,50.43333333,63.17,48,335.6
113.46,53.01,10,54.155,85.5,86.4,63.16,79.7,398.4
21.32,52.92,40,31.607,21.9,17.86666667,63.16,17.3,238.6
50.04,52.86,32,32.516,53.2,40.36666667,63.16,49.4,404.2
72.12,54.98,52,26.587,79.2,56.1,63.15,60.8,114.8
116.12,54.25,10,40.132,103,18.96666667,63.15,21.9,326.2
84.68,52.83,34,36.445,77,73.03333333,63.15,72.5,395.2
95.2,54.23,26,54.618,93.8,10.3,63.14,13.2,295.6
13.16,53.97,22,23.977,13.1,12.53333333,63.14,12,116
10.42,53.84,36,27.788,11.8,5.8,63.14,7.4,182.2
52.08,53.73,26,29.33,44.3,32.6,63.14,41.7,341.4
180.88,53.05,34,36.348,168.9,167.6666667,63.14,159.6,329
8.02,53.02,34,46.518,6.8,8.366666667,63.14,6.9,340.4
115.98,52.87,34,50.524,92.1,87.66666667,63.14,84.3,570.8
34.94,52.8,38,48.75,29.1,28.26666667,63.14,29,374.4
88.96,53.94,70,22.18,90.6,91.2,63.13,84.3,146.8
62.82,53.93,64,14.556,81.2,86.3,63.13,72.1,109.2
82.32,53.76,10,25.612,76.1,57.13333333,63.13,71.7,261.6
23.06,53.57,24,30.38,26.5,14.86666667,63.13,19.5,256.2
41.06,52.75,30,55.164,32.1,33.1,63.13,30.9,497.8
65.36,52.72,26,57.652,49.1,47.7,63.13,50.3,519.8
21.78,54.25,22,49.643,19.8,7.666666667,63.12,9,352
82.74,54.24,26,46.394,79.6,19.1,63.12,21.8,453
17.96,54.19,76,16.875,25.9,3.533333333,63.12,5.2,450
68.38,54.08,104,39.028,77.7,23.66666667,63.12,26.5,257.2
29.9,53.93,74,12.188,42.9,28.83333333,63.12,34.2,110
62.22,53.74,40,15.982,62.3,33.33333333,63.12,50.8,280
144.34,53.05,22,28.827,158.3,139.9,63.12,150.2,333.4
64.08,53.02,32,52.596,54.1,60.6,63.12,52.9,343
60.98,52.86,18,50.733,47.1,50.9,63.12,51.5,393.2
90.98,53.93,58,20.976,91.6,83.13333333,63.11,91.2,145.2
53.06,53.92,20,26.643,62.1,65.56666667,63.11,59.8,162
138,53.86,4,30.417,123.8,65,63.11,98,292.6
54.38,53.75,46,20.154,53.8,31,63.11,48.5,163.4
20.32,53.48,28,28.071,21.9,14.76666667,63.11,16.9,275
56.32,52.99,28,50.278,50.1,48.26666667,63.11,45.2,421.8
34.86,52.85,32,28.906,33.3,21.73333333,63.11,32.2,316.6
71.2,52.85,30,51.185,59.3,58.56666667,63.11,57.4,370.6
53.04,52.67,18,62.578,39.3,45.16666667,63.11,36.2,586.2
6.74,54.69,20,4.999,10.2,3.6,63.1,5,110
69.62,54.52,40,14,84,56.46666667,63.1,58.7,155.4
60.36,54.25,32,35.288,52.3,18.53333333,63.1,24.4,379.4
78.3,53.98,60,36.339,67.2,60.66666667,63.1,64.3,197.2
63.66,53.93,68,22.321,73.8,60.66666667,63.1,64.7,143.6
45.62,53.74,28,23.712,42.6,29.8,63.1,43,255.8
13.04,53.65,30,21.071,14.9,8.266666667,63.1,9.7,187.6
82.64,53.22,22,31.906,77.3,67.06666667,63.1,70.3,469
64.26,53.03,22,34.75,63.4,65.83333333,63.1,57.9,334.4
61.8,52.9,38,40.806,55.2,54.03333333,63.1,52,378.4
84.3,52.84,36,40.873,81,70.13333333,63.1,77.3,293.8
72.24,52.84,36,27.069,73.7,62.13333333,63.1,71.3,307.6
75.4,52.79,42,67.685,49.1,47,63.1,44.6,589.4
72,52.77,16,62.609,49.2,47.36666667,63.1,48.2,614.2
11.06,54,36,55,10,7.166666667,63.09,8.2,387.6
217.72,53.75,26,23.169,212.7,142.2,63.09,195.5,246.8
136.14,53.71,38,31.591,116.4,90.1,63.09,105.5,379.4
60.96,52.87,28,43.818,59.7,56.33333333,63.09,57.6,294.2
63.06,52.86,30,36.898,62.8,54.43333333,63.09,52.7,262
73.98,52.86,20,25.365,83.8,77,63.09,75.9,279
83.04,52.85,42,45.096,70.3,75.16666667,63.09,69.7,319
104.06,52.83,32,41.05,89.8,83.83333333,63.09,86.2,348.8
39.56,52.82,28,38.073,42.4,36.16666667,63.09,38.7,340.2
86.62,52.81,44,54.834,63.7,65.06666667,63.09,65.4,464
38.86,52.8,64,56.846,28.7,36.03333333,63.09,29.2,417.6
81.16,52.78,30,75,51.1,52.66666667,63.09,47.3,632.8
92.6,52.73,16,64.745,62.4,68.26666667,63.09,57.5,600.6
7.94,53.63,36,28.125,8.9,7.966666667,63.08,8,287.6
27.56,52.85,46,40.625,26.9,25.56666667,63.08,26.6,290
93.5,52.84,32,46.674,83.4,72.93333333,63.08,81.7,356
35.3,52.82,68,50.118,28.4,25.73333333,63.08,28.2,330.6
49.84,52.82,34,28.875,49.4,42.6,63.08,43.9,311.4
55.68,52.82,32,40.048,46.8,48.6,63.08,46.5,369.2
30.36,52.8,66,35.586,26.8,28.56666667,63.08,27.2,320.8
83.84,52.78,42,44.306,75.2,70.03333333,63.08,71,318.2
37.18,52.76,18,59.202,30.7,31.56666667,63.08,30.4,362.6
156.08,53.93,26,20.549,159.4,109.9,63.07,146.9,191.2
120.54,53.75,28,29.64,114.8,104.5333333,63.07,103.6,243
75.14,53.74,30,36.806,66.6,56.43333333,63.07,65.4,225.6
69.8,53.06,32,48.836,54.5,54.26666667,63.07,53.5,479.8
74.44,52.87,34,36.027,67,52.03333333,63.07,60.4,423.8
82.32,52.85,10,31.142,99,92.33333333,63.07,90.5,300
65.46,52.85,30,25.388,89.5,62.4,63.07,84.2,238
25.66,52.83,42,23.203,27.8,22.8,63.07,28.9,327
82.58,52.82,52,42.586,71.4,60.66666667,63.07,71.8,342
48.94,52.81,36,26.429,46.6,52.43333333,63.07,47.2,250.8
115.18,52.79,46,30.927,125.8,103.6,63.07,120.2,281.2
67.08,52.79,38,30.192,69.9,64.93333333,63.07,68.2,284.6
130.82,54.4,40,21.339,140.1,87.7,63.06,98,157
246.84,54.24,54,19.98,263,43.33333333,63.06,56.6,307
144.8,53.77,28,24.145,141,90.26666667,63.06,124,275.2
58.02,53.74,38,46.406,44.5,47.13333333,63.06,47.5,237.8
103.2,53.73,34,37.175,85.1,78.13333333,63.06,78.1,240
50.82,52.89,48,52.542,38.1,35.93333333,63.06,37.2,455.6
56.48,52.87,48,52.614,44.1,49.33333333,63.06,47.1,354.4
32.14,52.84,64,45.278,25.3,25.93333333,63.06,26.2,332.6
34.02,52.83,76,37.831,31.7,29.06666667,63.06,30.4,295.6
34.74,52.82,70,32.411,28.5,27.53333333,63.06,29.4,318.4
60.84,52.8,56,24.141,72.9,65.46666667,63.06,70.3,275
158.12,52.8,42,18.937,229.2,162.2666667,63.06,211.7,219.6
271.18,52.78,34,34.34,265.6,233,63.06,253.3,386.4
298.68,52.75,8,51.221,247.9,231.5,63.06,241.8,459.4
106.4,53.97,28,31.393,97.4,64.9,63.05,84.3,232.6
219.94,53.79,16,21.979,220.5,168.6666667,63.05,194.9,190.6
68.18,53.78,48,17.303,80.4,64.63333333,63.05,73.9,148
137.8,53.76,20,17.079,170.2,104.7,63.05,145.1,191.8
